Image_ID,Degradation,Layer,mean,std,min,max,l1,l2,energy,numel
R001,Rain,encoder_level1,-0.001371665974147618,0.06574761122465134,-0.3262603282928467,0.4198622703552246,351732.4375,178.5626859467005,31884.6328125,7372800
R001,Rain,encoder_level2,-0.003825671970844269,0.1198135614395142,-0.9215710163116455,0.9236493110656738,332458.59375,230.159285876108,52973.296875,3686400
R001,Rain,encoder_level3,0.01723472774028778,0.471760094165802,-2.635833263397217,3.401015996932983,688140.9375,640.9100219609613,410765.65625,1843200
R001,Rain,latent,0.007259232923388481,2.865499496459961,-17.85263061523438,15.17969226837158,2079432.25,2750.888220193616,7567386.0,921600
R001,Rain,decoder_level3,-0.01282745320349932,1.190356612205505,-6.536414623260498,6.931293487548828,1734011.0,1616.175578332998,2612023.5,1843200
R001,Rain,decoder_level2,0.01729743741452694,0.296163022518158,-1.559300661087036,1.836235523223877,856236.5625,569.6019992064635,324446.4375,3686400
R001,Rain,decoder_level1,-0.0003206168184988201,0.04039158672094345,-0.4090709090232849,0.3115846514701843,397789.5,155.1085872159404,24058.673828125,14745600
R001,Rain,refinement,9.978590969694778e-05,0.01375436875969172,-0.8376654982566833,0.4422212243080139,100370.1640625,52.81816722551531,2789.7587890625,14745600
R001,Rain,AFLB1_output,0.0002265258808620274,0.03455587849020958,-0.4279901683330536,0.467938095331192,17322.11328125,33.17435702266417,1100.537963867188,921600
R001,Rain,AFLB2_output,-0.001929227611981332,0.03343820199370384,-0.7276653051376343,0.4319532215595245,43066.2734375,45.47270171831117,2067.7666015625,1843200
R001,Rain,AFLB3_output,0.0009267014102078974,0.009151034988462925,-0.05236634984612465,0.1099185645580292,24337.990234375,17.65984822295516,311.8702392578125,3686400
R002,Rain,encoder_level1,-0.003940064460039139,0.06704699993133545,-0.3420215845108032,0.3116405308246613,337149.21875,182.3661324095019,33257.40625,7372800
R002,Rain,encoder_level2,0.0009122607298195362,0.1020777672529221,-1.038183689117432,1.067678928375244,270569.40625,195.9971300810295,38414.875,3686400
R002,Rain,encoder_level3,-3.534423058226821e-06,0.4202522337436676,-2.846570253372192,3.989437103271484,607252.125,570.5533224423463,325531.09375,1843200
R002,Rain,latent,-0.0225482601672411,2.835282325744629,-15.96419906616211,19.79821968078613,2060996.5,2721.957108405641,7409050.5,921600
R002,Rain,decoder_level3,-0.04448266699910164,1.138279795646667,-6.565523147583008,7.523714065551758,1656955.0,1546.559488024951,2391846.25,1843200
R002,Rain,decoder_level2,0.01723846979439259,0.2826477587223053,-1.401064157485962,1.961143255233765,827643.25,543.6920371405121,295601.03125,3686400
R002,Rain,decoder_level1,0.0001071097140084021,0.03946675360202789,-0.2732822895050049,0.2991089820861816,382871.1875,151.5528862930363,22968.27734375,14745600
R002,Rain,refinement,0.0003964953357353806,0.01195244491100311,-0.5430080890655518,0.3934961557388306,89610.2890625,45.92263524379209,2108.888427734375,14745600
R002,Rain,AFLB1_output,0.0008100423729047179,0.03376629576086998,-0.5800187587738037,0.5344327688217163,16963.568359375,32.42497161416934,1051.378784179688,921600
R002,Rain,AFLB2_output,-0.003105199662968516,0.03208164498209953,-1.146910786628723,0.4114062488079071,40964.40625,43.75903087595891,1914.852783203125,1843200
R002,Rain,AFLB3_output,0.0009244373068213463,0.008923938497900963,-0.04363344982266426,0.2080278545618057,23698.48046875,17.225648360099,296.7229614257812,3686400
R003,Rain,encoder_level1,-0.000758926325943321,0.07618598639965057,-0.3772614300251007,0.396573007106781,393828.09375,206.8773130535342,42798.22265625,7372800
R003,Rain,encoder_level2,-0.002422338118776679,0.1233545765280724,-0.8964381217956543,0.9669917225837708,323203.4375,236.8864525595544,56115.19140625,3686400
R003,Rain,encoder_level3,-0.01308459788560867,0.4730778634548187,-2.853053092956543,3.509000062942505,668888.125,642.51741221542,412828.625,1843200
R003,Rain,latent,0.01233837101608515,2.854942560195923,-18.2313289642334,25.67683792114258,2014448.0,2740.770329670109,7511822.0,921600
R003,Rain,decoder_level3,-0.02373549900949001,1.208699822425842,-9.40807056427002,6.346292018890381,1752346.5,1641.301693778447,2693871.25,1843200
R003,Rain,decoder_level2,-4.325866757426411e-05,0.3164503574371338,-1.730877041816711,1.927383780479431,924843.0,607.5847163153464,369159.1875,3686400
R003,Rain,decoder_level1,-6.242001836653799e-05,0.04030312970280647,-0.2940896153450012,0.2654930353164673,392971.125,154.7641981572289,23951.95703125,14745600
R003,Rain,refinement,0.0002109951747115701,0.00889948382973671,-0.4945090711116791,0.2945303916931152,71310.390625,34.18362030945431,1168.519897460938,14745600
R003,Rain,AFLB1_output,-0.0005828158464282751,0.03149538114666939,-0.3727804124355316,0.4824219644069672,16026.3447265625,30.24074242543338,914.5025024414062,921600
R003,Rain,AFLB2_output,-0.001919823233038187,0.03252693265676498,-0.8751682639122009,0.4125045537948608,43047.12890625,44.23687928931936,1956.901489257812,1843200
R003,Rain,AFLB3_output,0.0005157810519449413,0.01017103809863329,-0.05079641938209534,0.1240767985582352,26683.9609375,19.55348499973254,382.3387756347656,3686400
R004,Rain,encoder_level1,-0.0007671831990592182,0.07603245228528976,-0.3767722249031067,0.3982027173042297,392909.6875,206.4606689238897,42626.0078125,7372800
R004,Rain,encoder_level2,-0.002361226594075561,0.12264484167099,-0.8976577520370483,0.9266464114189148,320315.5625,235.5217363243783,55470.48828125,3686400
R004,Rain,encoder_level3,-0.01055702846497297,0.4678990840911865,-2.819848299026489,3.50776195526123,661570.5,635.4025790788073,403736.4375,1843200
R004,Rain,latent,0.009678320959210396,2.835268259048462,-17.80349349975586,28.32959747314453,2001515.25,2721.873252008624,7408594.0,921600
R004,Rain,decoder_level3,-0.01515623833984137,1.200396060943604,-8.822248458862305,6.384401321411133,1738249.0,1629.84155671648,2656383.5,1843200
