Image_ID,Degradation,Dataset,Filename,Noise_Sigma,PSNR,SSIM,H,W
R066,Rain,Rain100L,rain-066.png,,42.06008083061757,0.9855736574780144,320,480
R067,Rain,Rain100L,rain-067.png,,37.39594312275105,0.9867535837695772,320,480
R068,Rain,Rain100L,rain-068.png,,40.2841741687312,0.9885376318797007,480,320
R069,Rain,Rain100L,rain-069.png,,39.78693742330363,0.9884520710231847,480,320
R070,Rain,Rain100L,rain-070.png,,39.84722750201433,0.9879253140477969,320,480
R071,Rain,Rain100L,rain-071.png,,39.48442990490622,0.9835275794759629,480,320
R072,Rain,Rain100L,rain-072.png,,47.65472583568832,0.9949345473854135,480,320
R073,Rain,Rain100L,rain-073.png,,35.54852839453562,0.9728192795445265,320,480
R074,Rain,Rain100L,rain-074.png,,39.33932567180616,0.9826553266446124,320,480
R075,Rain,Rain100L,rain-075.png,,35.76019802990542,0.979213913922193,320,480
R076,Rain,Rain100L,rain-076.png,,37.36114319051958,0.9816764615990188,480,320
R077,Rain,Rain100L,rain-077.png,,39.17981448013064,0.9871183966981562,320,480
R078,Rain,Rain100L,rain-078.png,,45.66487862864516,0.9873947345487851,320,480
R079,Rain,Rain100L,rain-079.png,,42.08629999368461,0.9836563402467288,320,480
R080,Rain,Rain100L,rain-080.png,,43.31528567786307,0.9903358505161292,480,320
R081,Rain,Rain100L,rain-081.png,,41.60638431230281,0.9954046838982502,320,480
R082,Rain,Rain100L,rain-082.png,,35.88344687181981,0.9852455594048775,480,320
R083,Rain,Rain100L,rain-083.png,,41.71038766721036,0.9838978721587682,320,480
R084,Rain,Rain100L,rain-084.png,,35.13216551275582,0.9845519514453213,480,320
R085,Rain,Rain100L,rain-085.png,,36.4862874964144,0.9936823740946162,480,320
R086,Rain,Rain100L,rain-086.png,,38.89925313302909,0.9901436715973837,480,320
R087,Rain,Rain100L,rain-087.png,,37.57771891415229,0.981170327658162,480,320
R088,Rain,Rain100L,rain-088.png,,38.63967256075388,0.9833021140903663,320,480
R089,Rain,Rain100L,rain-089.png,,45.88852910698526,0.9886422394595312,320,480
R090,Rain,Rain100L,rain-090.png,,40.74201265996282,0.9898940656728593,480,320
R091,Rain,Rain100L,rain-091.png,,38.34910448191384,0.9825371806102888,320,480
R092,Rain,Rain100L,rain-092.png,,25.64279263608069,0.9273217982717332,480,320
R093,Rain,Rain100L,rain-093.png,,33.63000196418937,0.9807815586942051,480,320
R094,Rain,Rain100L,rain-094.png,,37.48156175923421,0.9738104381178349,320,480
R095,Rain,Rain100L,rain-095.png,,37.9925867560969,0.9614415471097156,320,480
R096,Rain,Rain100L,rain-096.png,,39.79154084720951,0.9852244038449735,320,480
R097,Rain,Rain100L,rain-097.png,,37.39619697976551,0.9855952795651352,480,320
R098,Rain,Rain100L,rain-098.png,,42.27513645966553,0.9900708845225452,320,480
R099,Rain,Rain100L,rain-099.png,,31.78502141254287,0.978560395543199,320,480
R100,Rain,Rain100L,rain-100.png,,33.52340615997937,0.9634033930750788,480,320
H001,Haze,SOTS-outdoor,0001_0.8_0.2.jpg,,32.7315225230325,0.9883226457445983,400,544
H002,Haze,SOTS-outdoor,0002_0.8_0.08.jpg,,21.66713381255197,0.941868426096777,400,544
H003,Haze,SOTS-outdoor,0003_0.8_0.2.jpg,,33.59237462268231,0.9896836158068102,304,544
H004,Haze,SOTS-outdoor,0004_0.9_0.12.jpg,,34.37141674421225,0.9906601283217742,400,544
H005,Haze,SOTS-outdoor,0006_0.85_0.08.jpg,,32.88570788120027,0.9904940760135736,400,544
H006,Haze,SOTS-outdoor,0007_0.9_0.16.jpg,,24.50008801993566,0.9729869557815715,416,560
H007,Haze,SOTS-outdoor,0009_0.8_0.16.jpg,,32.31485209971116,0.9822354280326784,400,544
H008,Haze,SOTS-outdoor,0010_0.95_0.16.jpg,,31.45108971187745,0.9768399771562276,400,544
H009,Haze,SOTS-outdoor,0011_0.95_0.16.jpg,,34.9123314842073,0.983797717133499,400,544
H010,Haze,SOTS-outdoor,0014_0.8_0.12.jpg,,21.18762521998465,0.9675915856788567,400,544
H011,Haze,SOTS-outdoor,0016_0.8_0.08.jpg,,26.26679898058546,0.9783997650890006,400,544
H012,Haze,SOTS-outdoor,0017_0.9_0.08.jpg,,37.20893521630533,0.9937935785619745,480,544
H013,Haze,SOTS-outdoor,0018_0.9_0.2.jpg,,34.32888729612436,0.9876834401158409,592,544
H014,Haze,SOTS-outdoor,0019_0.8_0.16.jpg,,25.75298165467576,0.982977215352792,400,544
H015,Haze,SOTS-outdoor,0021_0.8_0.08.jpg,,23.55042100597601,0.9789773995597818,400,544
H016,Haze,SOTS-outdoor,0022_0.8_0.08.jpg,,21.02557197590752,0.9559054589762411,400,544
H017,Haze,SOTS-outdoor,0023_0.85_0.12.jpg,,29.04853703337146,0.9806859480275447,400,544
H018,Haze,SOTS-outdoor,0024_0.85_0.08.jpg,,34.55940549887951,0.9625920181031918,400,544
H019,Haze,SOTS-outdoor,0025_0.8_0.16.jpg,,33.98366959099057,0.9867224789896426,400,544
H020,Haze,SOTS-outdoor,0026_0.95_0.08.jpg,,32.82601276270334,0.9870718207132237,400,544
H021,Haze,SOTS-outdoor,0029_0.85_0.08.jpg,,29.29356402635032,0.9848998058002287,400,544
H022,Haze,SOTS-outdoor,0030_0.95_0.12.jpg,,38.73354079787858,0.9939826926657863,400,544
H023,Haze,SOTS-outdoor,0033_0.85_0.08.jpg,,32.25484468352202,0.9894137154745581,400,544
H024,Haze,SOTS-outdoor,0034_0.9_0.16.jpg,,25.75259915337292,0.980241502165061,400,544
H025,Haze,SOTS-outdoor,0036_1_0.08.jpg,,23.35955243108916,0.9634328907895245,400,544
H026,Haze,SOTS-outdoor,0039_0.9_0.2.jpg,,35.30865171807594,0.9868444595956077,400,544
H027,Haze,SOTS-outdoor,0040_1_0.08.jpg,,34.17890686190096,0.9917352789170716,400,544
H028,Haze,SOTS-outdoor,0042_0.8_0.2.jpg,,32.28189880381051,0.9835773364064685,720,544
H029,Haze,SOTS-outdoor,0045_0.8_0.16.jpg,,21.84487402295944,0.9748569389794266,720,544
H030,Haze,SOTS-outdoor,0046_0.9_0.16.jpg,,30.53646236800288,0.9751296498176467,400,544
H031,Haze,SOTS-outdoor,0047_0.9_0.12.jpg,,36.07829618000018,0.9914413890376764,304,544
H032,Haze,SOTS-outdoor,0048_0.9_0.2.jpg,,26.6095937121434,0.9852672840895602,400,544
