Image_ID,Degradation,AFLB,fft_energy,low_energy,high_energy,low_pct,high_pct
R001,Rain,AFLB1,3.803925275802612,0,3.803925275802612,0,100
R001,Rain,AFLB2,4.840666770935059,0,4.840666770935059,0,100
R001,Rain,AFLB3,0.9530181288719177,0,0.9530181288719177,0,100
R002,Rain,AFLB1,9.148406028747559,0,9.148406028747559,0,100
R002,Rain,AFLB2,9.003974914550781,0,9.003974914550781,0,100
R002,Rain,AFLB3,1.479339718818665,0,1.479339718818665,0,100
R003,Rain,AFLB1,5.777890205383301,0,5.777890205383301,0,100
R003,Rain,AFLB2,8.07600212097168,0,8.07600212097168,0,100
R003,Rain,AFLB3,1.631982922554016,0,1.631982922554016,0,100
R004,Rain,AFLB1,5.771491050720215,0,5.771491050720215,0,100
R004,Rain,AFLB2,8.061405181884766,0,8.061405181884766,0,100
R004,Rain,AFLB3,1.629413366317749,0,1.629413366317749,0,100
R005,Rain,AFLB1,8.221841812133789,0,8.221841812133789,0,100
R005,Rain,AFLB2,9.891507148742676,0,9.891507148742676,0,100
R005,Rain,AFLB3,1.843838930130005,0,1.843838930130005,0,100
R006,Rain,AFLB1,10.70014667510986,0,10.70014667510986,0,100
R006,Rain,AFLB2,11.65957736968994,0,11.65957736968994,0,100
R006,Rain,AFLB3,2.058559417724609,0,2.058559417724609,0,100
R007,Rain,AFLB1,5.425180912017822,0,5.425180912017822,0,100
R007,Rain,AFLB2,6.657906055450439,0,6.657906055450439,0,100
R007,Rain,AFLB3,1.30103325843811,0,1.30103325843811,0,100
R008,Rain,AFLB1,6.009641170501709,0,6.009641170501709,0,100
R008,Rain,AFLB2,6.305258274078369,0,6.305258274078369,0,100
R008,Rain,AFLB3,1.122464179992676,0,1.122464179992676,0,100
R009,Rain,AFLB1,9.214421272277832,0,9.214421272277832,0,100
R009,Rain,AFLB2,7.858953952789307,0,7.858953952789307,0,100
R009,Rain,AFLB3,1.203897833824158,0,1.203897833824158,0,100
R010,Rain,AFLB1,6.736903190612793,0,6.736903190612793,0,100
R010,Rain,AFLB2,8.763193130493164,0,8.763193130493164,0,100
R010,Rain,AFLB3,1.725781440734863,0,1.725781440734863,0,100
R011,Rain,AFLB1,7.766268253326416,0,7.766268253326416,0,100
R011,Rain,AFLB2,6.370941638946533,0,6.370941638946533,0,100
R011,Rain,AFLB3,0.9534884691238403,0,0.9534884691238403,0,100
R012,Rain,AFLB1,2.628020763397217,0,2.628020763397217,0,100
R012,Rain,AFLB2,4.756949424743652,0,4.756949424743652,0,100
R012,Rain,AFLB3,1.05107307434082,0,1.05107307434082,0,100
R013,Rain,AFLB1,3.422805070877075,0,3.422805070877075,0,100
R013,Rain,AFLB2,4.89053201675415,0,4.89053201675415,0,100
R013,Rain,AFLB3,1.004716873168945,0,1.004716873168945,0,100
R014,Rain,AFLB1,7.8548583984375,0,7.8548583984375,0,100
R014,Rain,AFLB2,9.416410446166992,0,9.416410446166992,0,100
R014,Rain,AFLB3,1.747363686561584,0,1.747363686561584,0,100
R015,Rain,AFLB1,4.330048561096191,0,4.330048561096191,0,100
R015,Rain,AFLB2,6.245147705078125,0,6.245147705078125,0,100
R015,Rain,AFLB3,1.266278147697449,0,1.266278147697449,0,100
R016,Rain,AFLB1,8.890214920043945,0,8.890214920043945,0,100
R016,Rain,AFLB2,9.539641380310059,0,9.539641380310059,0,100
R016,Rain,AFLB3,1.694049000740051,0,1.694049000740051,0,100
R017,Rain,AFLB1,12.80984306335449,0,12.80984306335449,0,100
R017,Rain,AFLB2,11.17621231079102,0,11.17621231079102,0,100
R017,Rain,AFLB3,1.727705597877502,0,1.727705597877502,0,100
R018,Rain,AFLB1,11.76230049133301,0,11.76230049133301,0,100
R018,Rain,AFLB2,12.01881790161133,0,12.01881790161133,0,100
R018,Rain,AFLB3,2.053766250610352,0,2.053766250610352,0,100
R019,Rain,AFLB1,3.535693645477295,0,3.535693645477295,0,100
R019,Rain,AFLB2,4.442324161529541,0,4.442324161529541,0,100
R019,Rain,AFLB3,0.885597825050354,0,0.885597825050354,0,100
R020,Rain,AFLB1,3.536987066268921,0,3.536987066268921,0,100
