Image_ID,Degradation,AFLB,hl_mean,hl_std,lh_mean,lh_std,agg_energy,cross_agg_energy,aflb_out_mean,aflb_out_std,aflb_out_energy
R001,Rain,AFLB1,0.002396780531853437,0.009658325463533401,0.08069738745689392,0.2717224657535553,54979.515625,295.009033203125,0.0002265258808620274,0.03455587849020958,1100.537963867188
R001,Rain,AFLB2,0.04364793747663498,0.0332469642162323,0.02356366813182831,0.1263558119535446,17991.79296875,2759.629150390625,-0.001929227611981332,0.03343820199370384,2067.7666015625
R001,Rain,AFLB3,0.4999284744262695,4.539873043540865e-05,0.4999898672103882,7.251955685205758e-05,39.5934944152832,6.300892891886178e-07,0.0009267014102078974,0.009151034988462925,311.8702392578125
R002,Rain,AFLB1,0.004071432165801525,0.0111809317022562,0.0807044506072998,0.2722601592540741,64901.8203125,277.4176330566406,0.0008100423729047179,0.03376629576086998,1051.378784179688
R002,Rain,AFLB2,0.06193913891911507,0.03503177314996719,0.02541286312043667,0.1249958947300911,28949.994140625,7613.095703125,-0.003105199662968516,0.03208164498209953,1914.852783203125
R002,Rain,AFLB3,0.4999244213104248,4.639261896954849e-05,0.4999905824661255,6.988779205130413e-05,39.40856552124023,5.786643555438786e-07,0.0009244373068213463,0.008923938497900963,296.7229614257812
R003,Rain,AFLB1,0.007412515580654144,0.01726748049259186,0.08093863725662231,0.2702994346618652,52733.47265625,268.7666931152344,-0.0005828158464282751,0.03149538114666939,914.5025024414062
R003,Rain,AFLB2,0.02940155938267708,0.02838157489895821,0.02248523943126202,0.1275342702865601,15333.658203125,2419.42529296875,-0.001919823233038187,0.03252693265676498,1956.901489257812
R003,Rain,AFLB3,0.4999342858791351,3.979788743890822e-05,0.49998939037323,7.663189899176359e-05,39.81104278564453,6.695232741549262e-07,0.0005157810519449413,0.01017103809863329,382.3387756347656
R004,Rain,AFLB1,0.003835872747004032,0.01032321434468031,0.08096528798341751,0.2702052295207977,54957.6953125,255.3696594238281,-0.0005875934730283916,0.0315622016787529,918.3906860351562
R004,Rain,AFLB2,0.03600101917982101,0.02942107431590557,0.02225850522518158,0.1273045241832733,15666.5458984375,2927.192138671875,-0.001812273752875626,0.03239405155181885,1940.261108398438
R004,Rain,AFLB3,0.4999293386936188,3.988565731560811e-05,0.4999894201755524,7.523317617597058e-05,39.69569396972656,6.054414711798017e-07,0.0005476324004121125,0.009812957607209682,356.0842590332031
R005,Rain,AFLB1,0.004511860199272633,0.01237038429826498,0.08069093525409698,0.2720250487327576,45426.3359375,356.3633728027344,-0.0002083565923385322,0.03487161174416542,1120.732543945312
R005,Rain,AFLB2,0.03679782897233963,0.0279388464987278,0.02511751651763916,0.1274571865797043,20387.29296875,3146.440185546875,-0.0004980724188499153,0.03306455537676811,2015.562744140625
R005,Rain,AFLB3,0.4999193847179413,6.250219303183258e-05,0.4999875128269196,8.92604366526939e-05,39.7661247253418,6.066212563382578e-07,0.0005451341858133674,0.01004993822425604,373.426513671875
R006,Rain,AFLB1,0.002266124123707414,0.00856965221464634,0.08068924397230148,0.271852970123291,67178.765625,517.78076171875,0.0008544860174879432,0.03336451202630997,1026.58935546875
R006,Rain,AFLB2,0.0408107303082943,0.03238560631871223,0.0225746538490057,0.1263039261102676,22596.98828125,3529.0009765625,-0.001692882506176829,0.03947208821773529,2877.07177734375
R006,Rain,AFLB3,0.4999249279499054,4.547864591586404e-05,0.4999896585941315,7.661573908990249e-05,39.60319137573242,6.363754891935969e-07,0.001108883880078793,0.00950548704713583,337.6149597167969
R007,Rain,AFLB1,0.002509656827896833,0.007982592098414898,0.08139641582965851,0.268718421459198,30383.62890625,197.0231628417969,-0.0009515378624200821,0.03352420777082443,1036.595336914062
R007,Rain,AFLB2,0.04420895874500275,0.03080641850829124,0.02351902239024639,0.1272211074829102,20149.224609375,3748.960693359375,-0.001435942016541958,0.03325869888067245,2042.639892578125
R007,Rain,AFLB3,0.4999217689037323,5.407437856774777e-05,0.4999881684780121,8.428881847066805e-05,39.70426177978516,5.38501126357005e-07,0.001034378306940198,0.009586161933839321,342.7041015625
R008,Rain,AFLB1,0.001519800629466772,0.007762480527162552,0.0836494043469429,0.2626402378082275,32450.3203125,161.8156585693359,-0.001012669410556555,0.03285295888781548,995.6437377929688
R008,Rain,AFLB2,0.04156049340963364,0.0313265435397625,0.02394298277795315,0.1270729452371597,26459.54296875,4756.0537109375,-0.001241834717802703,0.03296272829174995,2005.555786132812
R008,Rain,AFLB3,0.4999260902404785,4.702016667579301e-05,0.4999901056289673,7.4527102697175e-05,39.63282775878906,5.24496897469362e-07,0.001358637004159391,0.009731216356158257,355.8941345214844
R009,Rain,AFLB1,0.00214337557554245,0.007904399186372757,0.08113810420036316,0.269141286611557,30651.111328125,336.4649047851562,-0.0006665518740192056,0.02934830822050571,794.2049560546875
