Image_ID,Degradation,AFLB,Feature,mean,std,min,max,l1,l2,energy,numel
R001,Rain,AFLB1,conv_feat,0.006481087300926447,0.09931792318820953,-0.6133977770805359,0.6410573720932007,64864.09765625,95.54799800035059,9129.419921875,921600
R001,Rain,AFLB1,fft_magnitude,0.0005629417719319463,0.001952080754563212,8.694451025803573e-07,0.2074512094259262,518.80712890625,1.950365421094881,3.803925275802612,921600
R001,Rain,AFLB1,raw_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921600
R001,Rain,AFLB1,raw_high,0.07038205116987228,0.07037344574928284,9.593955496711715e-08,0.6410574316978455,64864.1015625,95.54800311067468,9129.4208984375,921600
R001,Rain,AFLB1,mined_low,-0.2140858173370361,1.85245668888092,-17.3987922668457,14.49300765991211,1160584.375,1790.195031274526,3204798.25,921600
R001,Rain,AFLB1,mined_high,-0.0004151433822698891,0.4721454381942749,-11.59436893463135,12.1424388885498,216783.421875,453.259807533163,205444.453125,921600
R001,Rain,AFLB2,conv_feat,-0.0111303897574544,0.1583916693925858,-0.9009165167808533,0.8302485346794128,216736.09375,215.569947682301,46470.40234375,1843200
R001,Rain,AFLB2,fft_magnitude,0.0002732920111157,0.001597354537807405,5.228818977798255e-08,0.407069057226181,503.7318420410156,2.20015153363014,4.840666770935059,1843200
R001,Rain,AFLB2,raw_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843200
R001,Rain,AFLB2,raw_high,0.1175868585705757,0.106701172888279,2.654521047418257e-08,0.9009165167808533,216736.09375,215.5699567425851,46470.40625,1843200
R001,Rain,AFLB2,mined_low,-0.01569465175271034,0.2886323034763336,-4.839775085449219,4.747572422027588,287157.21875,392.4391075377172,154008.453125,1843200
R001,Rain,AFLB2,mined_high,-0.07045374810695648,0.2063636481761932,-3.638508796691895,3.652402400970459,284136.03125,296.0465810054222,87643.578125,1843200
R001,Rain,AFLB3,conv_feat,0.001140898675657809,0.09962916374206543,-0.4866101145744324,0.6128932237625122,282359.59375,191.3005345817152,36595.89453125,3686400
R001,Rain,AFLB3,fft_magnitude,7.214410288725048e-05,0.0005033069755882025,1.875683786067839e-08,0.2510406076908112,265.9520263671875,0.9762264741707827,0.9530181288719177,3686400
R001,Rain,AFLB3,raw_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686400
