AFLB,feature_h,feature_w,alpha,beta,h_over_128,w_over_128,h_half_width,w_half_width,mask_sum,mask_numel,mask_area_pct,mask_min,mask_max,norm_F,norm_F_low,norm_F_high,energy_total,energy_split,energy_rel_error,verify_Ml_plus_Mh_eq_1,verify_manual_ifft_low_matches,verify_manual_ifft_high_matches,raw_low_mean,raw_low_max,raw_high_mean,raw_high_max
AFLB1,40,60,0.49622711539268494,0.5046544671058655,0,0,0,0,0.0,921600,0.0,0.0,0.0,1.9503556489944458,0.0,1.9503556489944458,3.803887157564546,3.803887157564546,0.0,True,True,True,0.0,0.0,0.07038205116987228,0.6410574316978455
AFLB2,80,120,0.49490293860435486,0.4978736937046051,0,0,0,0,0.0,1843200,0.0,0.0,0.0,2.2000293731689453,0.0,2.2000293731689453,4.840129242806142,4.840129242806142,0.0,True,True,True,0.0,0.0,0.11758685857057571,0.9009165167808533
AFLB3,160,240,0.4978349208831787,0.4985400140285492,1,1,0,0,0.0,3686400,0.0,0.0,0.0,0.976062536239624,0.0,0.976062536239624,0.9526980746505274,0.9526980746505274,0.0,True,True,True,0.0,0.0,0.07659494131803513,0.612893283367157
