Degradation,AFLB,alpha_mean,alpha_std,beta_mean,beta_std,mask_area_pct_mean,mask_area_pct_std,low_pct_mean,low_pct_std,high_pct_mean,high_pct_std,hl_mean_mean,hl_mean_std,lh_mean_mean,lh_mean_std
Haze,AFLB1,0.4935907736420632,0.000755083319237191,0.5080900865793229,0.001052204624351502,0,0,0,0,100,0,0.0006273853562015575,0.0007519903373903765,0.08069934815168381,1.725593322405928e-05
Haze,AFLB2,0.4909019267559052,0.001171420358867274,0.4952301746606827,0.0007879499651772118,0,0,0,0,100,0,0.07528713202103972,0.02119452374407642,0.02073734475299716,0.00102129363348983
Haze,AFLB3,0.4968664512038231,0.0004934414735643498,0.4973407873511315,0.0003544346783711791,0,0,0,0,100,0,0.4999339550733566,5.678124771652835e-06,0.4999940058588981,7.76313879285002e-07
Noise,AFLB1,0.4955399143695831,0.00121460227256269,0.5057193434238434,0.001800479502345825,0,0,0,0,100,0,0.0003405535811543814,0.0002127252657594376,0.1073766079545021,0.01912520945422935
Noise,AFLB2,0.4938796213269234,0.001750066140559517,0.4966104608774185,0.001748752350216469,0,0,0,0,100,0,0.0416426145285368,0.011877139759157,0.02486265476793051,0.002511510275249538
Noise,AFLB3,0.4980629095435142,0.0009103713888531077,0.4981752359867096,0.000588795728496421,0,0,0,0,100,0,0.4999230620265007,1.32531939267637e-05,0.4999894243478775,1.217249883487936e-06
Rain,AFLB1,0.4948075175285339,0.001226924366329334,0.5067585837841034,0.001915391157629176,0,0,0,0,100,0,0.003382614510701387,0.002971244363346616,0.08121702052652836,0.001337458942006444
Rain,AFLB2,0.4928253668546677,0.001858445523495838,0.4958281436562538,0.001943829610470898,0,0,0,0,100,0,0.04451949903741479,0.01447345778299553,0.02318865917623043,0.001732930836741185
Rain,AFLB3,0.4978733766078949,0.001000983666647379,0.4978382754325867,0.0006010476246655517,0,0,0,0,100,0,0.4999222493171692,6.074442209137672e-06,0.4999890372157097,1.085720935655218e-06
