Degradation,PSNR_mean,PSNR_std,PSNR_min,PSNR_max,SSIM_mean,SSIM_std,SSIM_min,SSIM_max
Haze,30.39262041624601,5.43250020934898,16.86938382407906,41.15569100572999,0.9804174990819153,0.01337814137866374,0.912806298974077,0.9942548049112533
Noise,31.27594760635066,2.914491733202944,23.48588145132393,40.54627307426497,0.8865761937513943,0.04863730459912882,0.7230677254408179,0.9687135498547635
Rain,38.61579078000472,3.76956161555168,22.77636483874134,47.65472583568832,0.9828392191070577,0.01036082227409325,0.9273217982717332,0.9956072946578022
